2026-04-25 00:53:14 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:53:19 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:53:24 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:53:30 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:53:35 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:53:40 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:53:45 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:53:50 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:53:55 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:00 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:05 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:10 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:15 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:20 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:25 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:30 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:35 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:40 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:45 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:50 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:54:55 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:00 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:05 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:10 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:16 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:21 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:26 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:31 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:36 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:41 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:46 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:51 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:55:56 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:01 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:06 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:11 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:21 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:26 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:26 INFO  SELL_EXECUTED [US] SMU mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=16.1900 qty=9 reason=TIME_STOP_SOFT pnl=-0.86% peakPnl=-0.12% holdMs=302145 high=16.3100 avgPrice=16.3299 weightedPnl=-0.42% dailyPnl=-0.45%
2026-04-25 00:56:30 WARN  SELL_REJECTED SMU reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-04-25 00:56:31 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:36 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:36 INFO  SELL_EXECUTED [US] SMU mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=16.1900 qty=9 reason=TIME_STOP_SOFT pnl=-0.86% peakPnl=-0.12% holdMs=312266 high=16.3100 avgPrice=16.3299 weightedPnl=-0.42% dailyPnl=-0.45%
2026-04-25 00:56:36 WARN  SELL_REJECTED SMU reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-04-25 00:56:41 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:41 INFO  SELL_EXECUTED [US] SMU mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=16.1900 qty=9 reason=TIME_STOP_SOFT pnl=-0.86% peakPnl=-0.12% holdMs=317425 high=16.3100 avgPrice=16.3299 weightedPnl=-0.42% dailyPnl=-0.45%
2026-04-25 00:56:47 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:52 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:57 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:56:57 WARN  SELL pending timeout cleared for SMU
2026-04-25 00:56:57 INFO  SELL_EXECUTED [US] SMU mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=16.1300 qty=9 reason=TIME_STOP_SOFT pnl=-1.22% peakPnl=-0.12% holdMs=332515 high=16.3100 avgPrice=16.3299 weightedPnl=-0.60% dailyPnl=-1.05%
2026-04-25 00:57:02 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:57:07 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:57:12 INFO  BUY_FILLED SMU phase=HOLDING
2026-04-25 00:57:12 WARN  SELL pending timeout cleared for SMU
2026-04-25 00:57:12 INFO  SELL_EXECUTED [US] SMU mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=16.1000 qty=9 reason=TIME_STOP_SOFT pnl=-1.41% peakPnl=-0.12% holdMs=347605 high=16.3100 avgPrice=16.3299 weightedPnl=-0.69% dailyPnl=-1.74%
2026-04-25 00:57:12 WARN  SELL_REJECTED SMU reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-04-25 01:38:09 INFO  BUY [US] BAIG mode=VOLUME_BREAKOUT price=3.0500 qty=98 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(9.94x) | VWAP: 1.06%(ABOVE slope=UP) | TREND: score=3 vel=0.33%/0.33%/0.33% | VOL: 219808.0000/22108.3500 TO: 670436.3808/67317.2733 | entryNo=1
2026-04-25 01:39:40 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:39:45 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:39:50 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:39:55 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:00 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:05 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:10 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:15 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:20 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:25 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:30 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:35 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:40 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:45 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:50 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:40:55 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:00 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:05 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:10 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:15 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:20 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:25 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:31 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:36 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:41 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:46 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:51 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:41:56 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:01 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:06 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:11 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:16 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:21 INFO  BUY_FILLED BAIG phase=HOLDING
2026-04-25 01:42:26 INFO  BUY_FILLED BAIG phase=HOLDING
