2026-05-09 02:20:05 INFO  BUY [US] SMU mode=VOLUME_BREAKOUT price=13.7300 qty=17 size=0.8000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(2.01x) | VWAP: 0.56%(ABOVE slope=UP) | TREND: score=3 vel=0.48%/0.81%/0.96% | VOL: 1009031.0000/501938.3000 TO: 13853995.6300/6853231.4200 | entryNo=1
2026-05-09 02:20:06 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:20:10 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:20:15 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:20:20 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:20:25 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:20:30 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:20:36 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:20:41 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:20:46 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:20:51 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:20:56 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:01 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:06 INFO  BUY [US] BAIG mode=VOLUME_BREAKOUT price=34.4700 qty=8 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(3.87x) | VWAP: 0.21%(ABOVE slope=UP) | TREND: score=3 vel=0.60%/0.23%/0.23% | VOL: 30862.0000/7971.0909 TO: 1063813.1400/274183.4175 | entryNo=1
2026-05-09 02:21:06 WARN  BUY_REJECTED BAIG phase=NONE
2026-05-09 02:21:06 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:11 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:16 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:22 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:27 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:32 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:37 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:42 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:47 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:52 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:21:57 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:02 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:07 INFO  BUY [US] TQQQ mode=BREAKOUT price=75.9600 qty=3 size=0.8000x score=85(CONV) | WHY: strongBreakout retestOK multiUp vol(1.51x) | VWAP: 0.11%(ABOVE slope=UP) | TREND: score=3 vel=0.08%/0.06%/0.07% | VOL: 33455223.0000/22121357.9167 TO: 2540609707.7538/1678085770.6255 | entryNo=1
2026-05-09 02:22:07 WARN  BUY_REJECTED TQQQ phase=NONE
2026-05-09 02:22:07 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:12 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:18 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:23 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:28 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:33 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:38 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:43 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:48 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:53 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:22:58 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:03 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:08 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:13 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:19 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:23 INFO  BUY [US] TSLQ mode=VOLUME_BREAKOUT price=17.7000 qty=16 size=1.0000x score=95(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(2.59x) | VWAP: 0.11%(ABOVE slope=UP) | TREND: score=3 vel=0.06%/0.24%/0.08% | VOL: 8009546.0000/3095775.0000 TO: 141849059.6600/54763519.1997 | entryNo=1
2026-05-09 02:23:23 WARN  BUY_REJECTED TSLQ phase=NONE
2026-05-09 02:23:24 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:29 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:34 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:39 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:44 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:49 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:54 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:23:59 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:04 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:10 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:15 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:20 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:25 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:30 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:35 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:40 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:45 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:50 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:24:56 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:25:01 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:25:06 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:25:11 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:25:16 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:25:21 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:25:26 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:25:31 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:25:36 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:25:41 INFO  BUY_FILLED SMU phase=HOLDING
2026-05-09 02:25:46 INFO  BUY_FILLED SMU phase=HOLDING
