2026-04-23 00:52:16 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:21 INFO  BUY [US] IBIT mode=VOLUME_BREAKOUT price=44.9800 qty=6 size=1.0000x score=82(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(4.18x) | VWAP: 0.41%(ABOVE slope=UP) | TREND: score=2 vel=0.05%/0.00%/0.12% | VOL: 13114995.0000/3135690.7500 TO: 590043625.0500/140728436.6706 | entryNo=2
2026-04-23 00:52:21 WARN  BUY_REJECTED IBIT phase=NONE
2026-04-23 00:52:21 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:27 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:32 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:37 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:42 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:47 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:52 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:52:57 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:02 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:07 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:12 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:17 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:22 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:27 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:32 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:37 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:42 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:47 INFO  BUY_FILLED AXTI phase=HOLDING
2026-04-23 00:53:52 INFO  BUY_FILLED AXTI phase=HOLDING
