2026-05-05 00:54:30 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:54:35 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:54:40 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:54:45 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:54:50 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:54:55 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:00 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:06 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:11 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:16 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:21 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:26 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:31 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:36 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:41 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:46 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:51 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:55:56 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:02 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:07 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:12 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:17 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:22 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:27 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:32 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:37 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:42 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:47 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:52 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:56:58 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:57:03 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:57:08 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:57:13 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 00:57:13 INFO  SELL_EXECUTED [US] SQQQ mode=VOLUME_BREAKOUT phase=EXITING exitType=TIMESTOP price=50.6301 qty=5 reason=TIME_STOP_SOFT pnl=-0.57% peakPnl=0.03% holdMs=304564 high=50.9342 avgPrice=50.9200 weightedPnl=-0.48% dailyPnl=0.61%
2026-05-05 00:57:16 WARN  SELL_REJECTED SQQQ reason=TIME_STOP_SOFT rolledBack=partialDone:false phase=HOLDING
2026-05-05 00:57:18 INFO  BUY_FILLED SQQQ phase=HOLDING
2026-05-05 01:23:06 INFO  BUY [US] IBIT mode=BREAKOUT price=45.5900 qty=5 size=0.8000x score=85(CONV) | WHY: strongBreakout retestOK multiUp vol(1.60x) | VWAP: 0.66%(ABOVE slope=UP) | TREND: score=3 vel=0.12%/0.30%/0.67% | VOL: 20983984.0000/13126867.9500 TO: 956135230.9600/595905097.0635 | entryNo=2
2026-05-05 01:23:06 WARN  BUY_REJECTED IBIT phase=NONE
2026-05-05 01:32:05 INFO  BUY [US] PLTR mode=VOLUME_BREAKOUT price=146.7300 qty=2 size=1.0000x score=90(CONV) | WHY: strongBreakout volBreakout retestOK multiUp vol(5.07x) | VWAP: 0.05%(ABOVE slope=UP) | TREND: score=2 vel=0.08%/0.08%/-0.07% | VOL: 41646060.0000/8213384.3500 TO: 6109060541.4000/1202807971.6469 | entryNo=2
