2026-04-22 02:55:56 WARN  SELL_REJECTED ETHU reason=VWAP_BREAK rolledBack=partialDone:false phase=HOLDING
2026-04-22 03:05:08 WARN  BUY_SKIP [US] SMCX reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:05:23 WARN  BUY_SKIP [US] SMCX reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:12:10 WARN  BUY_SKIP [US] TSLL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:12:25 WARN  BUY_SKIP [US] TSLL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:15:07 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:15:22 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:16:08 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:16:23 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:32:05 WARN  BUY_SKIP [US] SMCX reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:32:20 WARN  BUY_SKIP [US] SMCX reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:41:09 WARN  BUY_SKIP [US] NVDL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:41:25 WARN  BUY_SKIP [US] NVDL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:55:06 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 03:55:21 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 04:05:07 WARN  BUY_SKIP [US] NVDL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 04:05:22 WARN  BUY_SKIP [US] NVDL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 04:14:07 WARN  BUY_SKIP [US] BAIG reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 04:14:22 WARN  BUY_SKIP [US] BAIG reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 04:25:05 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 04:25:05 WARN  BUY_SKIP [US] SMU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 04:25:21 WARN  BUY_SKIP [US] SOXL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 04:25:21 WARN  BUY_SKIP [US] SMU reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 04:26:06 WARN  BUY_SKIP [US] TSLL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
2026-04-22 04:26:21 WARN  BUY_SKIP [US] TSLL reason=DAILY_LOSS_LIMIT dailyPnl=-5.89%
