2026-05-20 22:56:06 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=424401 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:56:11 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:16 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:21 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:21 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:56:26 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:31 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:37 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:37 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:56:37 WARN  SELL_REJECTED BAIG reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
2026-05-20 22:56:42 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:42 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=460727 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:56:47 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:52 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:57 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:56:57 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:57:02 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:57:07 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:57:13 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:57:13 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:57:13 WARN  SELL_REJECTED BAIG reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
2026-05-20 22:57:18 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:57:18 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=496917 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:57:28 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:57:34 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:57:34 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:57:39 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:57:44 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:57:49 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:57:49 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:57:49 WARN  SELL_REJECTED BAIG reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
2026-05-20 22:57:54 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:57:54 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=533125 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:57:59 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:05 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:10 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:10 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:58:15 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:20 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:25 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:25 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:58:25 WARN  SELL_REJECTED BAIG reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
2026-05-20 22:58:31 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:31 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=569370 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:58:36 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:41 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:46 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:46 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:58:51 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:58:56 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:01 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:01 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:59:02 WARN  SELL_REJECTED BAIG reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
2026-05-20 22:59:07 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:07 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=605787 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:59:12 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:17 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:22 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:22 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:59:27 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:33 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:38 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:38 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
2026-05-20 22:59:38 WARN  SELL_REJECTED BAIG reason=SELL_TIMEOUT_MARKET_RETRY phase=HOLDING
2026-05-20 22:59:43 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:43 INFO  SELL_EXECUTED [US] BAIG mode=EARLY_MOMENTUM phase=EXITING exitType=TIMESTOP price=32.2900 qty=3 reason=TIME_STOP_SOFT pnl=0.00% peakPnl=0.00% holdMs=641747 high=32.2900 avgPrice=32.2900 weightedPnl=0.00% (pending fill)
2026-05-20 22:59:48 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:58 INFO  BUY_FILLED BAIG phase=HOLDING
2026-05-20 22:59:58 WARN  SELL timeout for BAIG — issuing immediate MARKET sell qty=3
